"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
arrivaldate,ctr_page_1,,text,"Date of Arrival

Date d'Arrivée


",,,date_dmy,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
arrivaltime,ctr_page_1,,text,"Time of Arrival

Heure d'Arrivée

",,"Time should be in 24H format; i.e. 1pm to 11.59pm should be written as 13:00 to 23:59.",time,00:00,23:59,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
transfer,ctr_page_1,,radio,"Transfer?

Patient transféré?
","0, No, Non | 1, Yes / Oui | 99, Unknown / Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",y,,,,,
facility,ctr_page_1,,text,"Transfer Facility

Nom de la Formation Sanitaire de Provenance
",,,,,,,"[transfer] = '1'",,,,,,
transferreason,ctr_page_1,,checkbox,"Reason for Transfer

Raison(s) du transfert du patient","0, Increased Level of Care/ Echelon Sanitaire Supérieur | 1, Patient Preference / Préférence du Patient | 98, Other, specify / Autre (précisez) | 99, Unknown / Inconnu",,,,,,"[transfer] = '1'",,,,,,
transferreason_other,ctr_page_1,,text,"Other, specify:

Autre (précisez):
",,"Please select all that apply. Only select ""Other"" or ""Unknown"" if NONE of the other options apply.",,,,,"[transferreason(98)] = '1'",,,,,,
age,ctr_page_1,"DEMOGRAPHICS

DONNEES SOCIO DEMOGRAPHIQUES
",text,"Age (years)

Âge (ans)
",,"If patient is <  1 year old, convert age to years. For example, a 3 month old child should have age entered as 0.25",number,0,120,y,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
sex,ctr_page_1,,radio,"Sex

Sexe
","0, Female/Féminin | 1, Male/Masculin",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
marital_status,ctr_page_1,,radio,"Marital Status

Etat civil

","0, Single/Célibataire | 1, Living with partner/Vivant avec conjoint | 2, Married/Mari(e) | 3, Divorced/separated/Divorcé(e)/Séparé(e) | 4, Widowed/ Veuf/veuve | 99, Unknown/Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
education,ctr_page_1,,radio,"Education

Éducation","0, No formal education / Aucune education formelle | 1, Nursery - Primary School / Maternelle- Primaire* | 2, Secondary-High School / Secondaire* | 3, University / Université* | 97, N/A (Babies < 3 yrs / Enfants < 3 ans) | 98, Other (specify) / Autre (précisez) | 99, Unknown / Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
education_other,ctr_page_1,,text,"Other Education, specify:

Autre éducation (précisez):

",,,,,,,"[education] = '98'",,,,,,
education_complete,ctr_page_1,,radio,"*Did the patient complete that level of schooling?

*Le patient a-t-il terminé ce niveau de scolarité?","0, No - Incomplete / Non - pas terminé | 1, Yes - Complete / Oui - Terminé | 99, Unknown / Inconnu",,,,,,"[education] = '1' or [education] = '2' or [education] = '3' or [education] = '98'",,,,,,
occupation,ctr_page_1,,radio,"Occupation

Profession

","0, Professional/technical/managerial / Professionnelle/technique/managériale | 1, Clerical/administrative / employé de type administratif | 2, Sales / Commerçants et vendeurs | 3, Services / Personnel de service direct aux particuliers | 4, Farmer/Agricultural Worker / Agriculteur et ouvrier de l'agriculture | 5, Skilled manual labor /  Emploi manuel qualifié | 6, Unskilled manual labor / Emploi manuel non qualifié | 7, Unemployed (able to work) / Sans emploi (apte au travail) | 8, Unemployed (unable to work) / Sans emploi (inapte au travail) | 9, Housewife / Femme au foyer | 10, Student / Etudiant(e) | 11, Retired / Retraité(e) | 98, Other (specify) / Autre (precisez) | 99, Unknown / Inconnu","Only select ""Other"" or ""Unknown"" if NONE of the other options apply.",,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
occupation_other,ctr_page_1,,text,"Autre profession (précisez):

Other, specify:",,,,,,,"[occupation] = '98'",,,,,,
urban,ctr_page_1,"Household 

Ménage (maison familiale)",radio,"Is the Household Urban/Rural?

Le ménage est urbain ou rural?

","0, Rural/ Rural | 1, Urban/ Urbain | 99, Unknown/ Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
cellphone,ctr_page_1,,radio,"Does  anyone in your household own a cellphone?

Un des membres du ménage possède un téléphone portable?

","0, No/ Non | 1, Yes/ Oui | 99, Unknown/ Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
tv,ctr_page_1,,radio,"Does your household have a television?

Votre ménage possède-t'-il Un téléviseur?","0, No/ Non | 1, Yes/ Oui | 99, Unknown/ Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
cable,ctr_page_1,,radio,"Does your household have Cable TV or satellite?

Votre ménage possède-t'-il Un cablage au réseaux téle/satellite?","0, No/ Non | 1, Yes/ Oui | 99, Unknown/ Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
mixer,ctr_page_1,,radio,"Does your household have a mixer?

Votre ménage possède-t'-il un mixeur/moulinette?","0, No/ Non | 1, Yes/ Oui | 99, Unknown/ Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
cooking_fuel,ctr_page_1,,radio,"Type of cooking fuel primarily used in the household

Quel type de combustible votre ménage utilise-t-il principalement pour cuisiner?
","wood, Wood/Bois | charcoal, Charcoal/Charbon | lpg, LPG (Liquid Petroleum Gas) / Gaz Propane Liquéfié | kerosene, Kerosene / Kerosène Pétrole | 97, N/A (Eats outside / Mange à l'extérieur) | other, Other, specify / Autre (précisez)",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
cooking_fuel_other,ctr_page_1,,text,"Other cooking fuel, specify:

Autre combustible (précisez):

",,,,,,,"[cooking_fuel] = 'other'",,,,,,
medicalhx,ctr_page_1,"<div class=""rich-text-field-label""><p><span style=""background-color: #000000; color: #ecf0f1;"">PATIENT MEDICAL HISTORY</span></p></div>",checkbox,"Known Medical History

Antécédents médicaux connus","0, No medical problems / Aucun problème médical | 1, Active acute illness / Maladie aiguë active | 2, Chronic illness  / Maladie chronique* | 3, Mental/psychiatric illness / Maladie mentale/psychiatrique | 4, Prior Surgery (specify) / Chirurgie antérieure (précisez) | 5, Unknown: Patient cannot respond and no family present / Inconnu: Le patient ne répond pas/membres de famille absents",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
prior_surgery,ctr_page_1,,text,"Prior Surgery, specify:

Chirurgie antérieure (précisez):

",,,,,,,"[medicalhx(4)] = '1'",,,,,,
medicalhx_chronic,ctr_page_1,,checkbox,"*If chronic illness, select all that apply:

*En cas de maladies chroniques, cocher toutes les options applicables: ","0, Diabetes - insulin dependent / Diabète (insulino-dépendant) | 1, Diabetes - non insulin dependent / Diabetes Diabète (non insulino-dépendant) | 2, Hypertension / Hypertension | 3, HIV/AIDS (on ART) / VIH/SIDA (sous ARV) | 4, HIV/AIDS (not on ART) / VIH/SIDA (pas sous ARV) | 5, Liver Diseases/Cirrhosis / Maladies du foie/cirrhose | 6, Stroke/TIA / AVC/AIT | 7, Chronic Kidney Disease / Maladie rénale chronique | 8, Heart Disease (CHF, ischaemic or valve disease) / Cardiopathie (ICC, maladie ischémique ou valvulaire) | 9, Cancer / Cancer | 10, Asthma/COPD / Asthme/BPCO | 11, Epilepsy/convulsions / Épilepsie/convulsions | 98, Other Chronic Illness (specify) / Autre (précisez)",,,,,,"[medicalhx(2)] = '1'",,,,,,
medicalhx_chronic_other,ctr_page_1,,text,"Other Chronic Illness, specify:

Autres maladies chroniques, précisez :

",,,,,,,"[medicalhx_chronic(98)] = '1'",,,,,,
pregnant,ctr_page_1,,radio,"Pregnant

Enceinte","0, No/ Non | 1, Yes/ Oui* | 97, Not applicable / Pas applicable | 99, Unknown/ Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
gest_age,ctr_page_1,,text,"*If Yes, gestational age (Weeks)

*Si Oui, âge gestationnel (Semaines)",,,integer,0,44,,"[pregnant] = '1'",,,,,,
lmp_know,ctr_page_1,,radio,"Do you know the date of  your Last Menstrual Period (LMP)? 

Connaissez-vous la date des dernières règles (DDR)?","1, Yes / Oui | 0, No / Non",,,,,,"[pregnant] = '0' or [pregnant] = '1' or [pregnant] = '99'",,,,,,
lmp,ctr_page_1,,text,"Date of Last Menstrual Period (LMP)

Date des dernières règles (DDR)",,,date_dmy,,,,"[lmp_know] = '1'",,,,,,
prior_injury,ctr_page_1,,radio,"Injury in the last 12 months requiring medical care or resulting in missed routine activities for 1+ days?

Notion de traumatisme au cours des 12 derniers mois nécessitant des soins médicaux ou entraînant des activités de routine manquées pendant plus d'un jour?","0, No/ Non | 1, Yes/ Oui | 99, Unknown/ Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
prior_injury_violence,ctr_page_1,,radio,"Was the injury violence-related?

Le traumatisme était-il lié à la violence?","0, No/ Non | 1, Yes/ Oui | 99, Unknown/ Inconnu",,,,,,"[prior_injury] = '1'",,,,,,
alcoholuse,ctr_page_1,,radio,"How often did the patient have six or more alcoholic drinks on one occasion in the past year?

Combien de fois le patient a-t-il bu six (ou plus) boissons alcoolisées à une occasion au cours de la dernière année?","0, Never / Jamais | 1, Less than Monthly / Moins d'une fols par mois | 2, Monthly / Mensuel | 3, Weekly / Hebdomadaire | 4, Daily / Journalier | 99, Unknown / Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
tobaccouse,ctr_page_1,,radio,"Does the patient smoke cigarettes/tobacco?

Le patient fume-t-il des cigarettes/du tabac?","0, Never / Jamais | 1, Current / Courant | 2, Former/Quit / Ancien fumeur | 99, Unknown / Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
phq_depression,ctr_page_1,,radio,"In the last 2 weeks, how often has the patient, Had little interest or pleasure in doing things?

Au cours des 2 dernières semaines, à quelle fréquence avez-vous, Ressenti peu d'intérêt ou de plaisir à faire les choses?
","0, Not at all / Jamais | 1, Several days / Plusieurs jours | 2, More than half of the days / plus de la moitié du temps | 3, Nearly every day / Presque tous les jours | 99, Unable to ask patient directly / Patient impossible à questionner directement",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
phq_depression_2,ctr_page_1,,radio,"In the last 2 weeks, how often has the patient, Felt down, depressed, or hopeless?

Au cours des 2 dernières semaines, à quelle fréquence avez-vous, Été triste, déprimé(e) ou désespéré(e)?
","0, Not at all / Jamais | 1, Several days / Plusieurs jours | 2, More than half of the days / plus de la moitié du temps | 3, Nearly every day / Presque tous les jours | 99, Unable to ask patient directly / Patient impossible à questionner directement",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
tetanus,ctr_page_1,"Tetanus Status

Statut Vaccinale anti-tétanique
",radio,"Has the patient received a tetanus shot in the last 5 years?     

Le patient a-t-il reçu un vaccin anti tétanique au cours des 5 dernières années?

       
           ","0, No/ Non | 1, Yes/Oui | 99, Unknown/Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
tetanus_wound,ctr_page_1,,radio,"Did the current injury involve a dirty, penetrating wound?

Le traumatisme actuelle impliquait-elle une plaie sale et profonde?
","0, No/ Non | 1, Yes/Oui | 99, Unknown/Inconnu",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
consent,ctr_page_1,,radio,"Was patient consent obtained?

Le consentement du patient a été obtenu?

","1, Oui/ Yes | 0, Non/ No",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
consentsign,ctr_page_1,,text,"If yes, sign (type name and initials) below

Si oui, signez ci-dessous (tapez le nom et les initiales)

",,,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
consentprovider,ctr_page_1,,radio,"From whom was consent obtained? 

De qui le consentement a-t-il été obtenu?

","0, Patient / Patient | 1, Surrogate / Substitut | 2, Minor / Mineur | 3, Parent/Guardian / Tuteur",,,,,,"[consent] = '1'",,,,,,
injurydate,ctr_page_2,"CONTEXT OF INJURY
CONTEXT DU TRAUMATISME
",text,"Date of Injury

Date du traumatisme

",,,date_dmy,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
injurytime,ctr_page_2,,text,"Time of Injury

Heure du traumatisme

",,"Time should be in 24H format; i.e. 1pm to 11.59pm should be written as 13:00 to 23:59.",time,00:00,23:59,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
injuryregion,ctr_page_2,,dropdown,"Where did the injury occur? Region?

Lieu de survenue du traumatisme? Région?

","1, Adamaoua / Adamawa | 2, Centre | 3, Est / East | 4, Extreme-Nord / Extreme North | 5, Littoral | 6, Nord / North | 7, Nord-Ouest / Northwest | 8, Ouest / West | 9, Sud / South | 10, Sud-Ouest / Southwest",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
injurytown,ctr_page_2,,text,"Where did the injury occur? Town/City?

Lieu de survenue du traumatisme? Ville?

",,,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
injury_neighborhood,ctr_page_2,,text,"Where did the injury occur? Neighborhood?

Lieu de survenue du traumatisme? Quartier?

",,,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0'",,,,,,
injurydistrict_adamaoua,ctr_page_2,,dropdown,"In which health district (Adamawa Region) did the injury occur? 

Dans quel district de santé (Région de l'Adamaoua)  le traumatisme est il survenu?","1, Bankim | 2, Banyo | 3, Djohong | 4, Meiganga | 5, Ngaoundal | 6, Ngaoundere Rural | 7, Ngaoundere Urbain | 8, Tibati | 9, Tignère | 99, Unknown",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""1""",,,,,," @HIDDEN"
inj_loc_adamaoua_bankim,ctr_page_2,,dropdown,"In which health area of the Bankim health district (Adamaoua Region) did the injury occur? 

Dans quelle aire de santé du district sanitaire Bankim (région de santé - Adamaoua) le traumatisme est il survenu?","1, Atta | 2, Bandam | 3, Bankim rural | 4, Bankim urbain | 5, Nyamboya | 6, Somié | 7, Songkolong | 99, Unknown / Inconnue",,,,,,"[ctr_login(0)] = '0' and [ctr_login(1)] = '0' and [ctr_login(2)] = '1' and [ctr_login(3)] = '1' and [ctr_login(4)] = '0' and [ctr_login(5)] = '0' and [ctr_login(6)] = '1' and [ctr_login(7)] = '0' and [ctr_login(8)] = '0' and [ctr_login(9)] = '0' and [injuryregion] = ""1"" and [injurydistrict_adamaoua] = ""1""",,,,,," @HIDDEN"
